INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 4211002679
INFO: Loaded 1 modules   (1721143 inline 8-bit counters): 1721143 [0x5fedd15fc3e0, 0x5fedd17a0717), 
INFO: Loaded 1 PC tables (1721143 PCs): 1721143 [0x5fedd17a0718,0x5fedd31e3a88), 
INFO:     7276 files found in /home/defkit/noir/compiler/noirc_evaluator/fuzz/corpus/branching
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 7276 min: 30b max: 3726b total: 1893928b rss: 118Mb
#4096	pulse  cov: 11583 ft: 16882 corp: 493/49Kb exec/s: 682 rss: 398Mb
#7279	INITED cov: 11770 ft: 19084 corp: 722/176Kb exec/s: 383 rss: 398Mb
#7312	REDUCE cov: 11770 ft: 19084 corp: 722/176Kb lim: 3524 exec/s: 384 rss: 398Mb L: 31/3513 MS: 3 ShuffleBytes-InsertByte-EraseBytes-
#8192	pulse  cov: 11770 ft: 19084 corp: 722/176Kb lim: 3524 exec/s: 431 rss: 398Mb
#10107	NEW    cov: 11770 ft: 19085 corp: 723/176Kb lim: 3546 exec/s: 505 rss: 398Mb L: 317/3513 MS: 1 ChangeBinInt-
#10422	NEW    cov: 11770 ft: 19086 corp: 724/177Kb lim: 3546 exec/s: 521 rss: 398Mb L: 321/3513 MS: 5 ChangeASCIIInt-ChangeASCIIInt-ShuffleBytes-ChangeBit-ChangeASCIIInt-
#11761	RELOAD cov: 11770 ft: 19089 corp: 726/177Kb lim: 3557 exec/s: 560 rss: 398Mb
#13030	REDUCE cov: 11770 ft: 19089 corp: 726/177Kb lim: 3568 exec/s: 620 rss: 398Mb L: 30/3513 MS: 4 CopyPart-ChangeByte-EraseBytes-InsertByte-
#15586	NEW    cov: 11770 ft: 19090 corp: 727/178Kb lim: 3590 exec/s: 677 rss: 398Mb L: 360/3513 MS: 1 ChangeBit-
#16384	pulse  cov: 11770 ft: 19090 corp: 727/178Kb lim: 3590 exec/s: 712 rss: 398Mb
#17590	RELOAD cov: 11770 ft: 19093 corp: 728/178Kb lim: 3601 exec/s: 732 rss: 398Mb
#18203	REDUCE cov: 11770 ft: 19093 corp: 728/178Kb lim: 3612 exec/s: 758 rss: 398Mb L: 283/3513 MS: 3 ChangeByte-ShuffleBytes-EraseBytes-
#19537	RELOAD cov: 11770 ft: 19098 corp: 729/178Kb lim: 3623 exec/s: 781 rss: 398Mb
#24414	NEW    cov: 11770 ft: 19099 corp: 730/178Kb lim: 3667 exec/s: 871 rss: 398Mb L: 263/3513 MS: 4 ChangeBinInt-ChangeASCIIInt-ChangeASCIIInt-ChangeByte-
#24819	RELOAD cov: 11770 ft: 19100 corp: 731/179Kb lim: 3667 exec/s: 886 rss: 398Mb
#26595	NEW    cov: 11770 ft: 19101 corp: 732/179Kb lim: 3678 exec/s: 917 rss: 398Mb L: 309/3513 MS: 1 CopyPart-
#26770	RELOAD cov: 11770 ft: 19102 corp: 733/179Kb lim: 3678 exec/s: 923 rss: 398Mb
#28410	REDUCE cov: 11770 ft: 19102 corp: 733/179Kb lim: 3689 exec/s: 947 rss: 398Mb L: 298/3513 MS: 5 EraseBytes-CrossOver-CopyPart-ChangeBinInt-EraseBytes-
#30842	RELOAD cov: 11770 ft: 19103 corp: 734/180Kb lim: 3711 exec/s: 994 rss: 398Mb
#32196	NEW    cov: 11770 ft: 19106 corp: 735/180Kb lim: 3722 exec/s: 1006 rss: 398Mb L: 127/3513 MS: 4 CopyPart-ChangeBit-ChangeByte-ShuffleBytes-
#32768	pulse  cov: 11770 ft: 19106 corp: 735/180Kb lim: 3722 exec/s: 1024 rss: 398Mb
#33269	NEW    cov: 11770 ft: 19111 corp: 736/180Kb lim: 3722 exec/s: 1008 rss: 398Mb L: 91/3513 MS: 1 ChangeASCIIInt-
#34829	RELOAD cov: 11770 ft: 19113 corp: 737/180Kb lim: 3733 exec/s: 1055 rss: 398Mb
#35000	NEW    cov: 11772 ft: 19116 corp: 738/180Kb lim: 3733 exec/s: 1060 rss: 398Mb L: 287/3513 MS: 1 CMP- DE: "31"-
#36856	RELOAD cov: 11772 ft: 19117 corp: 739/181Kb lim: 3744 exec/s: 1084 rss: 398Mb
#37455	NEW    cov: 11773 ft: 19118 corp: 740/181Kb lim: 3755 exec/s: 1070 rss: 398Mb L: 299/3513 MS: 4 ChangeByte-PersAutoDict-ChangeBinInt-ChangeBit- DE: "31"-
#38921	RELOAD cov: 11773 ft: 19119 corp: 741/181Kb lim: 3766 exec/s: 1081 rss: 398Mb
#39132	NEW    cov: 11773 ft: 19120 corp: 742/181Kb lim: 3766 exec/s: 1087 rss: 398Mb L: 151/3513 MS: 1 ChangeASCIIInt-
#39854	NEW    cov: 11773 ft: 19121 corp: 743/182Kb lim: 3766 exec/s: 1107 rss: 398Mb L: 317/3513 MS: 2 ChangeASCIIInt-ShuffleBytes-
#40713	RELOAD cov: 11773 ft: 19122 corp: 744/182Kb lim: 3766 exec/s: 1100 rss: 398Mb
#42410	REDUCE cov: 11773 ft: 19122 corp: 744/182Kb lim: 3788 exec/s: 1116 rss: 398Mb L: 211/3513 MS: 5 EraseBytes-ChangeASCIIInt-PersAutoDict-ChangeBinInt-ChangeASCIIInt- DE: "31"-
#42565	REDUCE cov: 11773 ft: 19122 corp: 744/182Kb lim: 3788 exec/s: 1120 rss: 398Mb L: 43/3513 MS: 5 InsertByte-InsertByte-EraseBytes-ChangeBit-CopyPart-
#44688	REDUCE cov: 11773 ft: 19122 corp: 744/182Kb lim: 3799 exec/s: 1145 rss: 398Mb L: 235/3513 MS: 2 PersAutoDict-EraseBytes- DE: "31"-
#51574	NEW    cov: 11773 ft: 19123 corp: 745/182Kb lim: 3865 exec/s: 1199 rss: 398Mb L: 372/3513 MS: 1 ChangeASCIIInt-
#53326	RELOAD cov: 11773 ft: 19125 corp: 746/183Kb lim: 3876 exec/s: 1211 rss: 398Mb
#54283	REDUCE cov: 11773 ft: 19125 corp: 746/183Kb lim: 3887 exec/s: 1233 rss: 398Mb L: 203/3513 MS: 2 EraseBytes-ChangeByte-
#55110	REDUCE cov: 11773 ft: 19125 corp: 746/183Kb lim: 3887 exec/s: 1224 rss: 398Mb L: 53/3513 MS: 2 ChangeBit-EraseBytes-
#56683	NEW    cov: 11773 ft: 19126 corp: 747/183Kb lim: 3898 exec/s: 1232 rss: 398Mb L: 279/3513 MS: 1 ChangeBit-
#57145	RELOAD cov: 11773 ft: 19131 corp: 748/183Kb lim: 3898 exec/s: 1242 rss: 398Mb
#65253	RELOAD cov: 11773 ft: 19133 corp: 749/183Kb lim: 3975 exec/s: 1305 rss: 398Mb
#65536	pulse  cov: 11773 ft: 19133 corp: 749/183Kb lim: 3986 exec/s: 1310 rss: 398Mb
#66902	RELOAD cov: 11773 ft: 19134 corp: 750/184Kb lim: 3997 exec/s: 1311 rss: 398Mb
#68803	REDUCE cov: 11773 ft: 19134 corp: 750/184Kb lim: 4008 exec/s: 1323 rss: 398Mb L: 43/3513 MS: 1 EraseBytes-
#68907	REDUCE cov: 11773 ft: 19134 corp: 750/183Kb lim: 4008 exec/s: 1325 rss: 398Mb L: 546/3513 MS: 4 PersAutoDict-InsertByte-CMP-EraseBytes- DE: "31"-"\000*"-
#74380	NEW    cov: 11773 ft: 19139 corp: 751/184Kb lim: 4052 exec/s: 1352 rss: 398Mb L: 283/3513 MS: 2 ShuffleBytes-PersAutoDict- DE: "31"-
#78103	RELOAD cov: 11773 ft: 19140 corp: 752/184Kb lim: 4085 exec/s: 1370 rss: 398Mb
#79390	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1368 rss: 398Mb L: 251/3513 MS: 2 ChangeASCIIInt-EraseBytes-
#79687	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1373 rss: 398Mb L: 145/3513 MS: 2 ChangeBit-EraseBytes-
#79837	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1376 rss: 398Mb L: 103/3513 MS: 3 ChangeBinInt-ChangeBit-EraseBytes-
#94539	REDUCE cov: 11773 ft: 19140 corp: 752/184Kb lim: 4096 exec/s: 1432 rss: 398Mb L: 38/3513 MS: 1 EraseBytes-
#99438	RELOAD cov: 11773 ft: 19141 corp: 753/184Kb lim: 4096 exec/s: 1441 rss: 398Mb
#101221	RELOAD cov: 11773 ft: 19142 corp: 754/184Kb lim: 4096 exec/s: 1446 rss: 398Mb
#107135	NEW    cov: 11774 ft: 19143 corp: 755/185Kb lim: 4096 exec/s: 1467 rss: 398Mb L: 199/3513 MS: 4 CrossOver-ChangeASCIIInt-ChangeBit-EraseBytes-
#112794	RELOAD cov: 11774 ft: 19151 corp: 757/185Kb lim: 4096 exec/s: 1484 rss: 398Mb
#118515	RELOAD cov: 11774 ft: 19160 corp: 759/186Kb lim: 4096 exec/s: 1500 rss: 398Mb
#118686	NEW    cov: 11774 ft: 19161 corp: 760/186Kb lim: 4096 exec/s: 1502 rss: 398Mb L: 372/3513 MS: 1 ShuffleBytes-
#119287	REDUCE cov: 11774 ft: 19161 corp: 760/186Kb lim: 4096 exec/s: 1491 rss: 398Mb L: 227/3513 MS: 1 EraseBytes-
#123740	RELOAD cov: 11774 ft: 19163 corp: 761/186Kb lim: 4096 exec/s: 1509 rss: 398Mb
#125937	NEW    cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1499 rss: 398Mb L: 360/3513 MS: 2 PersAutoDict-ChangeBit- DE: "\000*"-
#126661	REDUCE cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1507 rss: 398Mb L: 303/3513 MS: 4 PersAutoDict-ChangeASCIIInt-ChangeASCIIInt-EraseBytes- DE: "\000*"-
#129275	REDUCE cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1503 rss: 398Mb L: 152/3513 MS: 2 ChangeASCIIInt-EraseBytes-
#131072	pulse  cov: 11774 ft: 19164 corp: 762/187Kb lim: 4096 exec/s: 1506 rss: 398Mb
#134338	RELOAD cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1509 rss: 398Mb
#136667	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1518 rss: 398Mb L: 235/3513 MS: 3 InsertByte-ChangeBinInt-EraseBytes-
#137623	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1512 rss: 398Mb L: 237/3513 MS: 1 EraseBytes-
#139015	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1527 rss: 398Mb L: 42/3513 MS: 1 EraseBytes-
#145965	REDUCE cov: 11774 ft: 19170 corp: 764/187Kb lim: 4096 exec/s: 1536 rss: 398Mb L: 83/3513 MS: 2 EraseBytes-CopyPart-
#153300	RELOAD cov: 11774 ft: 19184 corp: 766/188Kb lim: 4096 exec/s: 1548 rss: 398Mb
#153512	NEW    cov: 11777 ft: 19187 corp: 767/188Kb lim: 4096 exec/s: 1550 rss: 398Mb L: 279/3513 MS: 2 ShuffleBytes-ChangeBinInt-
#155484	REDUCE cov: 11777 ft: 19187 corp: 767/188Kb lim: 4096 exec/s: 1554 rss: 398Mb L: 179/3513 MS: 2 InsertByte-EraseBytes-
#160723	RELOAD cov: 11777 ft: 19188 corp: 768/188Kb lim: 4096 exec/s: 1560 rss: 398Mb
#162321	RELOAD cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1560 rss: 398Mb
#165437	REDUCE cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1560 rss: 398Mb L: 249/3513 MS: 1 EraseBytes-
#170495	REDUCE cov: 11777 ft: 19191 corp: 769/188Kb lim: 4096 exec/s: 1564 rss: 398Mb L: 105/3513 MS: 1 EraseBytes-
#175106	NEW    cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1563 rss: 398Mb L: 241/3513 MS: 3 PersAutoDict-ChangeBinInt-ShuffleBytes- DE: "31"-
#175408	REDUCE cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1566 rss: 398Mb L: 232/3513 MS: 2 ChangeBinInt-EraseBytes-
#185935	REDUCE cov: 11777 ft: 19192 corp: 770/189Kb lim: 4096 exec/s: 1575 rss: 398Mb L: 107/3513 MS: 1 EraseBytes-
#188014	NEW    cov: 11779 ft: 19194 corp: 771/189Kb lim: 4096 exec/s: 1579 rss: 398Mb L: 227/3513 MS: 2 CMP-ShuffleBytes- DE: "&\000\000\000\000\000\000\000"-
